"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.307887100E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.309850700E-2,-7.629394531E-5,-1.836955547E-3,1.800632477E-2
8.311814200E-2,-9.806931019E-3,-1.812458038E-2,-5.499839783E-3
9.313772600E-2,-1.293605566E-2,-1.305490732E-2,1.303672791E-3
1.031573610E-1,-2.945822477E-2,-1.803314686E-2,2.978324890E-2
1.131769960E-1,-1.045334339E-2,-1.955068111E-2,5.071067810E-2
1.231940280E-1,-2.167904377E-2,-1.347106695E-2,5.156803131E-2
1.332145310E-1,-1.959520578E-2,-1.472944021E-2,1.357460022E-2
1.432341660E-1,-9.415447712E-3,-1.139712334E-2,-9.290695190E-3
1.532600000E-1,-4.463970661E-3,-3.841280937E-3,-6.231307983E-3
1.632796870E-1,1.102793217E-2,-9.933412075E-3,-2.525424957E-2
1.732993230E-1,7.955491543E-3,-2.672910690E-3,-3.410339355E-3
1.833454160E-1,5.514919758E-3,7.847726345E-3,1.890277863E-2
1.933651040E-1,5.352735519E-3,-9.204506874E-3,1.747417450E-2
2.033847390E-1,2.652406693E-4,-1.146292686E-2,5.874633789E-4
2.133747910E-1,-1.362782717E-2,4.474103451E-3,2.719879150E-3
2.233944270E-1,-1.321828365E-2,1.752012968E-2,7.020950317E-3
2.334140620E-1,-2.855211496E-2,1.180946827E-2,8.855819702E-3
2.434526040E-1,-1.382070780E-2,4.493862391E-2,1.514244080E-2
2.534722910E-1,-4.332840443E-3,2.171236277E-2,1.204109192E-2
2.634919270E-1,4.219412804E-4,1.343387365E-2,1.370620728E-2
2.735074480E-1,7.306814194E-3,2.850985527E-2,-1.893997192E-2
2.835270830E-1,2.703011036E-3,1.999109983E-2,-2.500820160E-2
2.935467710E-1,-1.628696918E-3,1.414364576E-2,1.043128967E-2
3.035647390E-1,-1.749366522E-2,1.070851088E-2,4.444408417E-2
3.135843750E-1,-2.573925257E-2,5.201995373E-3,4.961013794E-2
3.236040620E-1,-2.470260859E-2,-6.854772568E-3,2.468967438E-2
3.336296350E-1,-3.140568733E-3,-1.134258509E-2,-1.605033875E-3
3.436492710E-1,2.019846439E-2,-1.471877098E-3,-6.142616272E-3
3.536689580E-1,1.267135143E-2,-1.490753889E-2,-2.440738678E-2
3.636945310E-1,2.876412868E-2,-1.668930054E-4,-2.820014954E-2
3.737141660E-1,3.532463312E-2,1.152932644E-2,-1.764297485E-3
3.837338020E-1,1.380515099E-2,-7.346630096E-3,7.609367371E-3
3.937521350E-1,9.299576283E-3,-5.065739155E-3,4.457569122E-2
4.037717710E-1,-2.260506153E-3,-3.153920174E-3,4.326820374E-2
4.137914580E-1,-6.574213505E-3,-3.520250320E-3,2.109050751E-2
4.237845830E-1,-6.047070026E-3,-5.558371544E-3,-2.732276917E-3
4.338042710E-1,1.451313496E-3,-1.407665014E-2,-2.588462830E-2
4.438239060E-1,-6.803274155E-4,-3.311455250E-3,-1.576805115E-2
4.538831250E-1,2.162396908E-3,-8.893609047E-3,-5.872726440E-3
4.639027080E-1,7.368206978E-3,-7.635354996E-5,-2.188491821E-2
4.739223960E-1,-1.266598701E-3,6.094455719E-3,2.324867249E-2
4.839244790E-1,-5.056500435E-3,2.380216122E-2,3.927898407E-2
4.939441660E-1,5.272209644E-3,7.907629013E-3,5.258178711E-2
5.039638020E-1,2.193003893E-2,1.807343960E-2,1.173877716E-2
5.139636980E-1,2.954781055E-3,1.203691959E-2,-4.691791534E-2
